TC_ID	Chr.wt	start	end	Strand.dcp2	Assigned_gene_name	in_coding_gene
115	chrI	185902	185918	+	YAR029W	NA
116	chrI	186290	186318	+	YAR029W	NA
117	chrI	186946	186997	+	NA	YAR031W
118	chrI	187161	187171	+	NA	YAR031W
119	chrI	187375	187422	+	NA	YAR031W
120	chrI	188040	188065	+	YAR033W	NA
121	chrI	188838	188935	+	NA	NA
122	chrI	190163	190173	+	YAR035W	NA
123	chrI	191531	191624	+	NA	YAR035W
124	chrI	191808	191814	+	NA	YAR035W
125	chrI	191926	191941	+	NA	YAR035W
126	chrI	192560	192619	+	YAR042W	NA
127	chrI	223669	223702	+	NA	NA
128	chrI	225676	225700	+	NA	YAR071W
129	chrI	228481	228490	+	YAR075W	YAR073W
130	chrII	23980	24085	+	YBL102W	NA
131	chrII	29567	29582	+	YBL100W-A	NA
132	chrII	30498	30523	+	NA	YBL008W
133	chrII	36733	36757	+	YBL099W	NA
134	chrII	36960	37041	+	YBL099W	NA
135	chrII	39113	39121	+	YBL098W	NA
136	chrII	40014	40063	+	NA	YBL011W
137	chrII	40179	40214	+	NA	YBL011W
138	chrII	40756	40813	+	YBL097W	NA
139	chrII	41116	41116	+	NA	YBL013W
140	chrII	43252	43267	+	YBL095W	NA
141	chrII	45609	45626	+	YBL092W	NA
142	chrII	45980	46024	+	NA	YBL016W
143	chrII	46057	46086	+	NA	YBL016W
144	chrII	46575	46604	+	NA	NA
145	chrII	46769	46793	+	NA	NA
146	chrII	48794	48818	+	YBL090W	NA
147	chrII	49535	49579	+	YBL089W	YBL020W
148	chrII	63672	63740	+	YBL085W	NA
149	chrII	71549	71574	+	YBL081W	NA
150	chrII	71807	71914	+	YBL081W	NA
151	chrII	72154	72181	+	NA	YBL025W
152	chrII	72285	72303	+	NA	YBL025W
153	chrII	72332	72337	+	NA	YBL025W
154	chrII	75178	75210	+	YBL079W	NA
155	chrII	88035	88064	+	NA	NA
156	chrII	89935	89971	+	YBL071W-A	NA
157	chrII	90665	90709	+	YBL069W	NA
158	chrII	91104	91108	+	NA	YBL032W
159	chrII	92345	92396	+	YBL068W	NA
160	chrII	101848	101882	+	YBL063W	NA
161	chrII	107655	107712	+	YBL060W	NA
162	chrII	107870	107936	+	YBL060W	NA
163	chrII	110672	110719	+	NA	YBL046W
164	chrII	111398	111409	+	YBL058W	NA
165	chrII	113626	113720	+	YBL056W	NA
166	chrII	117099	117134	+	YBL054W	NA
167	chrII	117243	117263	+	YBL054W	NA
168	chrII	117347	117378	+	YBL054W	NA
169	chrII	117410	117480	+	YBL054W	NA
170	chrII	118117	118164	+	NA	YBL050W
171	chrII	118773	118812	+	NA	YBL050W
172	chrII	121717	121779	+	NA	NA
173	chrII	121891	121928	+	NA	NA
174	chrII	125038	125062	+	YBL050W	NA
175	chrII	126586	126629	+	YBL049W	NA
176	chrII	126671	126743	+	YBL049W	NA
177	chrII	127751	127751	+	NA	NA
178	chrII	132399	132432	+	YBL046W	YBL059W
179	chrII	132766	132809	+	NA	YBL059W
180	chrII	136527	136561	+	YBL043W	NA
181	chrII	137332	137343	+	NA	YBL062W
182	chrII	140933	141080	+	YBL041W	NA
183	chrII	141191	141237	+	YBL041W	NA
184	chrII	141331	141379	+	NA	YBL063W
185	chrII	143086	143191	+	YBL039W-B	NA
186	chrII	143241	143336	+	YBL039W-B	NA
187	chrII	146113	146136	+	YBL038W	NA
188	chrII	147100	147162	+	YBL037W	NA
189	chrII	151434	151475	+	NA	NA
190	chrII	160074	160136	+	YBL032W	NA
191	chrII	161661	161715	+	YBL031W	NA
192	chrII	166066	166107	+	YBL029W	NA
193	chrII	166992	167148	+	NA	YBL073W
194	chrII	168392	168404	+	YBL027W	NA
195	chrII	168840	169020	+	NA	YBL077W
196	chrII	169678	169688	+	YBL026W	NA
197	chrII	170221	170234	+	YBL026W	NA
198	chrII	170326	170383	+	YBL026W	NA
199	chrII	170536	170600	+	YBL026W	NA
200	chrII	171399	171471	+	YBL025W	NA
201	chrII	172487	172525	+	YBL024W	NA
202	chrII	181586	181604	+	YBL020W	NA
203	chrII	182308	182346	+	YBL020W	NA
204	chrII	182637	182702	+	NA	YBL089W
205	chrII	184268	184400	+	YBL019W	YBL090W
206	chrII	191521	191539	+	YBL016W	NA
207	chrII	192025	192043	+	YBL016W	NA
208	chrII	192404	192442	+	YBL016W	NA
209	chrII	193285	193290	+	NA	YBL092W
210	chrII	193953	194047	+	YBL015W	NA
211	chrII	196297	196352	+	NA	NA
212	chrII	196695	196698	+	NA	NA
213	chrII	201990	202045	+	YBL013W	NA
214	chrII	202602	202612	+	NA	YBL097W
215	chrII	203431	203558	+	YBL011W	NA
216	chrII	205707	205752	+	NA	YBL098W
217	chrII	207141	207172	+	YBL009W	NA
218	chrII	209561	209627	+	YBL008W	YBL100W-B
219	chrII	209748	209752	+	NA	YBL100W-A
220	chrII	216692	216703	+	YBL006W-A	NA
221	chrII	216808	216863	+	YBL005W	YBL100W-C
222	chrII	217354	217417	+	YBL005W	NA
223	chrII	217505	217547	+	NA	YBL108W
224	chrII	220888	220977	+	YBL005W-A	NA
225	chrII	221275	221459	+	YBL005W-A	YBL102W
226	chrII	222106	222109	+	NA	YBL102W
227	chrII	224738	224738	+	NA	YBL102W
228	chrII	226235	226237	+	NA	YBL102W
229	chrII	227511	227580	+	YBL004W	NA
230	chrII	236383	236472	+	YBL002W	NA
231	chrII	236594	236606	+	NA	YBL113W-A
232	chrII	238484	238525	+	NA	NA
233	chrII	240768	240813	+	NA	NA
234	chrII	242775	242803	+	YBR003W	NA
235	chrII	245546	245589	+	YBR005W	NA
236	chrII	245817	245930	+	YBR005W	NA
237	chrII	245930	245956	+	YBR005W	YBR005W
238	chrII	246102	246139	+	NA	YBR005W
239	chrII	246878	246970	+	YBR006W	NA
240	chrII	247573	247673	+	NA	YBR006W
241	chrII	247759	247838	+	NA	YBR006W
242	chrII	248017	248173	+	NA	YBR006W
243	chrII	251119	251162	+	NA	NA
244	chrII	251535	251544	+	NA	NA
245	chrII	251616	251820	+	NA	NA
246	chrII	252867	252895	+	NA	NA
247	chrII	254646	254661	+	NA	NA
248	chrII	256303	256310	+	YBR010W	NA
249	chrII	265382	265382	+	NA	NA
250	chrII	269719	269788	+	YBR016W	NA
251	chrII	270198	270232	+	YBR016W	NA
252	chrII	270351	270351	+	NA	YBR016W
253	chrII	276742	276820	+	NA	NA
254	chrII	281307	281384	+	YBR021W	NA
255	chrII	283655	283724	+	YBR022W	NA
256	chrII	283900	283907	+	NA	YBR022W
257	chrII	288252	288347	+	NA	NA
258	chrII	289328	289413	+	YBR024W	NA
259	chrII	297998	298081	+	YBR030W	NA
260	chrII	298203	298249	+	YBR030W	NA
261	chrII	300142	300150	+	YBR031W	NA
262	chrII	300491	300547	+	NA	YBR031W
263	chrII	300916	300925	+	NA	YBR031W
264	chrII	301811	301815	+	YBR033W	YBR032W
265	chrII	301881	301897	+	YBR033W	NA
266	chrII	302330	302330	+	NA	YBR033W
267	chrII	303833	303880	+	NA	YBR033W
268	chrII	306248	306279	+	NA	NA
269	chrII	307556	307608	+	NA	NA
270	chrII	307820	307852	+	NA	NA
271	chrII	308040	308046	+	NA	NA
272	chrII	308158	308216	+	NA	NA
273	chrII	311819	311861	+	YBR038W	NA
274	chrII	312239	312240	+	NA	YBR038W
275	chrII	313203	313227	+	NA	YBR038W
276	chrII	315488	315545	+	YBR039W	NA
277	chrII	315917	315926	+	NA	YBR039W
278	chrII	318186	318237	+	YBR041W	NA
279	chrII	321166	321258	+	NA	NA
280	chrII	324413	324575	+	NA	NA
281	chrII	325503	325526	+	NA	NA
282	chrII	325668	325740	+	NA	NA
283	chrII	326055	326114	+	NA	NA
284	chrII	326261	326329	+	NA	NA
285	chrII	329292	329320	+	NA	NA
286	chrII	331741	331813	+	YBR047W	NA
287	chrII	331956	332037	+	NA	YBR047W
288	chrII	332655	332690	+	YBR048W	NA
289	chrII	332794	332821	+	YBR048W	NA
290	chrII	333443	333463	+	NA	YBR048W
291	chrII	334193	334196	+	NA	NA
292	chrII	336514	336516	+	NA	NA
293	chrII	337193	337210	+	YBR051W	NA
294	chrII	339570	339629	+	NA	NA
295	chrII	340977	340994	+	NA	NA
296	chrII	341441	341457	+	NA	NA
297	chrII	341602	341636	+	NA	NA
298	chrII	342525	342652	+	YBR054W	NA
299	chrII	342758	342791	+	YBR054W	NA
300	chrII	344295	344306	+	NA	NA
301	chrII	347806	347872	+	YBR056W	NA
302	chrII	349852	349860	+	NA	NA
303	chrII	350015	350106	+	NA	NA
304	chrII	350176	350197	+	NA	NA
305	chrII	351060	351246	+	YBR056W-A	NA
306	chrII	351616	351645	+	NA	NA
307	chrII	356231	356254	+	NA	NA
308	chrII	362834	362886	+	NA	NA
309	chrII	365890	365921	+	NA	NA
310	chrII	370525	370548	+	NA	NA
311	chrII	371333	371470	+	NA	NA
312	chrII	376475	376529	+	NA	NA
313	chrII	380328	380450	+	YBR071W	YBR071W
314	chrII	380545	380561	+	NA	YBR071W
315	chrII	380651	380681	+	NA	YBR071W
316	chrII	381689	381714	+	YBR072W	NA
317	chrII	381848	381848	+	YBR072W	NA
318	chrII	381956	381959	+	YBR072W	NA
319	chrII	382106	382159	+	NA	YBR072W
320	chrII	383130	383158	+	YBR073W	YBR073W
321	chrII	386260	386326	+	YBR074W	NA
322	chrII	390988	391002	+	NA	YBR076W
323	chrII	391919	392003	+	NA	NA
324	chrII	392944	392962	+	YBR078W	NA
325	chrII	393472	393651	+	NA	YBR078W
326	chrII	394306	394370	+	NA	YBR078W
327	chrII	407614	407637	+	NA	NA
328	chrII	408154	408159	+	NA	NA
329	chrII	408195	408394	+	YBR083W	NA
330	chrII	408894	408953	+	YBR083W	NA
331	chrII	409082	409169	+	YBR083W	NA
332	chrII	409391	409415	+	NA	YBR083W
333	chrII	410971	411040	+	YBR084W	NA
334	chrII	415874	415921	+	YBR085W	NA
335	chrII	418343	418395	+	NA	NA
336	chrII	419368	419380	+	NA	NA
337	chrII	419439	419443	+	NA	NA
338	chrII	423578	423631	+	YBR087W	NA
339	chrII	423735	423770	+	YBR087W	NA
340	chrII	424431	424456	+	NA	YBR087W
341	chrII	427129	427142	+	NA	NA
342	chrII	427716	427753	+	NA	NA
343	chrII	429553	429595	+	NA	NA
344	chrII	431967	432011	+	YBR094W	NA
345	chrII	435939	435972	+	YBR096W	NA
346	chrII	436891	436920	+	YBR097W	NA
347	chrII	441465	441517	+	YBR098W	YBR098W
348	chrII	447534	447592	+	YBR103W	NA
349	chrII	447686	447777	+	YBR103W	YBR103W
350	chrII	449575	449607	+	YBR104W	NA
351	chrII	450086	450105	+	NA	YBR104W
352	chrII	452575	452632	+	YBR106W	NA
353	chrII	452789	452886	+	NA	YBR106W
354	chrII	453596	453648	+	NA	NA
355	chrII	454327	454352	+	YBR108W	NA
356	chrII	454774	454807	+	YBR108W	NA
357	chrII	458614	458692	+	YBR110W	YBR109W-A
358	chrII	458823	458837	+	YBR110W	YBR109W-A
359	chrII	459178	459178	+	NA	YBR110W
360	chrII	462098	462145	+	YBR111W-A	NA
361	chrII	462210	462234	+	NA	YBR111W-A
362	chrII	467146	467231	+	YBR114W	NA
363	chrII	467358	467411	+	NA	YBR114W
364	chrII	474277	474344	+	NA	NA
365	chrII	474536	474608	+	NA	NA
366	chrII	477409	477474	+	YBR118W	NA
367	chrII	477606	477649	+	YBR118W	NA
368	chrII	478414	478496	+	NA	YBR118W
369	chrII	479268	479323	+	YBR119W	NA
370	chrII	479687	479771	+	NA	YBR119W
371	chrII	486007	486046	+	YBR124W	NA
372	chrII	488751	488786	+	NA	NA
373	chrII	490817	490831	+	YBR126W-A	NA
374	chrII	493059	493161	+	NA	NA
375	chrII	495571	495589	+	NA	NA
376	chrII	497119	497163	+	YBR131W	NA
377	chrII	504575	504582	+	YBR135W	YBR134W
378	chrII	504750	504804	+	YBR135W	NA
379	chrII	505617	505668	+	YBR136W	NA
380	chrII	511893	511917	+	NA	YBR136W
381	chrII	512952	512991	+	YBR137W	NA
382	chrII	513245	513281	+	NA	YBR137W
383	chrII	513363	513363	+	NA	YBR137W
384	chrII	515650	515659	+	YBR139W	NA
385	chrII	527135	527184	+	YBR141W-A	YBR141W-A
386	chrII	528238	528270	+	YBR142W	NA
387	chrII	532468	532526	+	NA	NA
388	chrII	533679	533721	+	YBR145W	NA
389	chrII	533816	534011	+	NA	YBR145W
390	chrII	535182	535235	+	YBR146W	NA
392	chrII	536422	536550	+	YBR147W	NA
393	chrII	539922	540020	+	YBR149W	NA
394	chrII	544872	544961	+	YBR151W	NA
395	chrII	545085	545170	+	NA	YBR151W
396	chrII	546300	546378	+	YBR152W	YBR152W
397	chrII	546577	546625	+	NA	YBR152W
398	chrII	547383	547462	+	YBR153W	NA
399	chrII	547927	547951	+	NA	YBR153W
400	chrII	549674	549756	+	YBR155W	NA
401	chrII	553398	553432	+	NA	NA
402	chrII	553813	553843	+	NA	NA
403	chrII	554951	555092	+	NA	NA
404	chrII	555241	555273	+	NA	NA
405	chrII	555443	555530	+	NA	NA
406	chrII	555944	555947	+	YBR158W	NA
407	chrII	556207	556311	+	YBR158W	NA
408	chrII	558630	558665	+	YBR159W	NA
409	chrII	559944	560031	+	YBR160W	NA
410	chrII	561337	561633	+	YBR161W	NA
411	chrII	563201	563227	+	NA	NA
412	chrII	564849	564860	+	YBR162W-A	NA
413	chrII	564985	565005	+	YBR162W-A	NA
414	chrII	565196	565221	+	YBR162W-A	NA
415	chrII	565604	565659	+	YBR163W	NA
416	chrII	565723	565733	+	YBR163W	YBR163W
417	chrII	565971	566050	+	NA	YBR163W
418	chrII	568757	568768	+	YBR165W	NA
419	chrII	568854	568881	+	YBR165W	YBR165W
420	chrII	569314	569336	+	NA	YBR165W
421	chrII	571386	571447	+	YBR168W	NA
422	chrII	571630	571661	+	YBR168W	NA
423	chrII	571775	571801	+	YBR168W	NA
424	chrII	572014	572095	+	YBR168W	NA
425	chrII	572244	572269	+	YBR168W	NA
426	chrII	578315	578340	+	YBR171W	NA
427	chrII	578486	578487	+	NA	YBR171W
428	chrII	581669	581756	+	YBR175W	NA
429	chrII	582369	582431	+	YBR175W	NA
430	chrII	582780	582797	+	NA	YBR175W
431	chrII	583602	583688	+	YBR176W	NA
432	chrII	585957	585959	+	YBR178W	NA
433	chrII	592646	592670	+	NA	NA
434	chrII	593204	593266	+	NA	NA
435	chrII	595243	595327	+	YBR183W	NA
436	chrII	596027	596114	+	YBR183W	NA
437	chrII	597334	597375	+	YBR184W	NA
438	chrII	598444	598444	+	NA	YBR184W
439	chrII	598571	598651	+	NA	YBR184W
440	chrII	602500	602564	+	YBR187W	NA
441	chrII	604454	604490	+	YBR189W	NA
442	chrII	604996	605162	+	NA	YBR189W
443	chrII	606075	606138	+	YBR191W	YBR190W
444	chrII	606203	606248	+	YBR191W	YBR190W
445	chrII	606673	606808	+	YBR191W-A	YBR191W
446	chrII	607452	607518	+	YBR192W	NA
447	chrII	609897	609984	+	YBR194W	NA
448	chrII	610016	610031	+	YBR194W	NA
449	chrII	611658	611699	+	NA	NA
450	chrII	614217	614245	+	NA	NA
451	chrII	614383	614553	+	NA	NA
452	chrII	615397	615451	+	NA	NA
453	chrII	615627	615630	+	NA	NA
454	chrII	618816	618834	+	YBR199W	NA
455	chrII	620808	620839	+	YBR200W	NA
456	chrII	623426	623454	+	YBR201W	NA
457	chrII	624292	624308	+	NA	NA
458	chrII	625733	625767	+	YBR202W	NA
459	chrII	625887	625898	+	NA	YBR202W
460	chrII	628973	628989	+	YBR203W	NA
461	chrII	629118	629182	+	YBR203W	NA
462	chrII	629729	629753	+	NA	YBR203W
463	chrII	629971	630033	+	NA	YBR203W
464	chrII	633575	633616	+	YBR205W	NA
465	chrII	635057	635119	+	YBR207W	NA
466	chrII	643275	643413	+	NA	NA
468	chrII	645328	645387	+	YBR210W	NA
469	chrII	645512	645555	+	YBR210W	NA
470	chrII	645640	645678	+	NA	YBR210W
471	chrII	647438	647544	+	YBR212W	NA
472	chrII	650298	650336	+	YBR213W	NA
473	chrII	651293	651354	+	YBR214W	NA
474	chrII	653272	653344	+	YBR215W	NA
475	chrII	653731	653733	+	NA	YBR215W
476	chrII	657768	657823	+	YBR217W	NA
477	chrII	664290	664327	+	NA	NA
478	chrII	670464	670496	+	YBR225W	YBR224W
479	chrII	674978	674994	+	YBR228W	NA
480	chrII	675301	675379	+	YBR228W	YBR228W
481	chrII	675802	675835	+	NA	YBR228W
482	chrII	680298	680371	+	YBR230W-A	NA
483	chrII	683282	683357	+	YBR233W	NA
484	chrII	684934	684963	+	YBR233W-A	NA
485	chrII	686816	686849	+	YBR235W	NA
486	chrII	691913	691946	+	YBR237W	NA
487	chrII	697906	697921	+	NA	NA
488	chrII	703457	703518	+	NA	NA
489	chrII	703930	703970	+	YBR242W	NA
490	chrII	704056	704085	+	YBR242W	NA
491	chrII	704465	704562	+	YBR242W	NA
492	chrII	704655	704699	+	YBR242W	YBR242W
493	chrII	707309	707367	+	YBR244W	NA
494	chrII	707475	707504	+	YBR244W	NA
495	chrII	711538	711589	+	YBR246W	NA
496	chrII	714678	714772	+	NA	NA
497	chrII	718381	718438	+	YBR250W	NA
498	chrII	719146	719197	+	NA	YBR250W
499	chrII	721322	721354	+	YBR251W	NA
500	chrII	722576	722593	+	YBR252W	NA
501	chrII	722992	723049	+	YBR253W	YBR252W
502	chrII	723208	723242	+	YBR253W	NA
503	chrII	724420	724471	+	YBR255W	NA
504	chrII	726577	726666	+	NA	NA
505	chrII	726856	726862	+	NA	NA
506	chrII	728353	728372	+	YBR257W	NA
507	chrII	728822	728891	+	YBR257W	NA
508	chrII	730323	730350	+	YBR259W	NA
509	chrII	736206	736252	+	YBR263W	NA
510	chrII	738527	738559	+	YBR265W	NA
511	chrII	739796	739847	+	YBR267W	NA
512	chrII	740077	740078	+	NA	YBR267W
513	chrII	741269	741301	+	YBR268W	NA
514	chrII	741832	741871	+	NA	NA
515	chrII	742767	742779	+	NA	NA
516	chrII	744561	744639	+	YBR271W	NA
517	chrII	744821	744835	+	YBR271W	NA
518	chrII	749532	749571	+	YBR274W	NA
519	chrII	760265	760354	+	YBR278W	NA
520	chrII	760455	760496	+	NA	YBR278W
521	chrII	760575	760669	+	NA	YBR278W
522	chrII	761210	761232	+	YBR279W	NA
523	chrII	761947	761986	+	NA	YBR279W
524	chrII	764136	764194	+	NA	NA
525	chrII	767846	767848	+	YBR282W	NA
526	chrII	768195	768209	+	YBR282W	NA
527	chrII	768952	768961	+	NA	NA
528	chrII	770869	770878	+	YBR284W	NA
529	chrII	772013	772042	+	NA	YBR284W
530	chrII	773299	773345	+	NA	YBR284W
531	chrII	773830	773902	+	YBR285W	NA
532	chrII	774664	774696	+	YBR286W	NA
533	chrII	775365	775367	+	NA	YBR286W
534	chrII	775661	775687	+	NA	YBR286W
535	chrII	776499	776546	+	YBR287W	NA
536	chrII	776756	776768	+	NA	YBR287W
537	chrII	776862	776933	+	NA	YBR287W
538	chrII	777026	777115	+	NA	YBR287W
539	chrII	778499	778514	+	NA	NA
540	chrII	779627	779663	+	YBR289W	NA
541	chrII	780226	780236	+	NA	YBR289W
542	chrII	782552	782584	+	YBR290W	NA
543	chrII	784412	784452	+	NA	NA
544	chrII	785401	785496	+	NA	NA
545	chrII	785904	785908	+	NA	NA
546	chrII	785945	786019	+	YBR293W	NA
547	chrII	786588	786633	+	YBR293W	NA
548	chrII	786817	786853	+	YBR293W	NA
549	chrII	787070	787142	+	NA	YBR293W
550	chrII	791348	791398	+	NA	YBR294W
551	chrII	791472	791536	+	NA	YBR294W
552	chrII	792377	792437	+	YBR295W	NA
553	chrII	792767	792848	+	YBR295W	NA
554	chrII	794690	794729	+	NA	YBR295W
555	chrII	797668	797710	+	NA	NA
556	chrII	799834	799868	+	YBR297W	NA
557	chrII	800464	800539	+	YBR297W	NA
558	chrII	801238	801287	+	NA	YBR297W
559	chrII	805132	805141	+	YBR299W	NA
560	chrII	805319	805334	+	YBR299W	NA
561	chrII	805555	805573	+	NA	YBR299W
562	chrII	807216	807219	+	NA	NA
563	chrII	807363	807379	+	NA	NA
564	chrII	809936	809957	+	NA	NA
565	chrIII	17233	17317	+	YCL063W	NA
566	chrIII	23557	23575	+	YCL058W-A	NA
567	chrIII	24059	24089	+	YCL057W	NA
568	chrIII	24569	24601	+	YCL057W	NA
569	chrIII	24751	24782	+	YCL057W	YCL014W
570	chrIII	27889	27961	+	YCL055W	NA
571	chrIII	29047	29066	+	NA	NA
572	chrIII	29356	29395	+	NA	NA
573	chrIII	29462	29555	+	NA	NA
574	chrIII	29601	29855	+	NA	NA
575	chrIII	30001	30031	+	YCL054W-A	NA
576	chrIII	30711	30757	+	YCL054W-A	NA
577	chrIII	30827	30899	+	YCL054W-A	NA
578	chrIII	31415	31438	+	YCL054W	NA
579	chrIII	35564	35593	+	YCL051W	NA
580	chrIII	39107	39142	+	NA	NA
581	chrIII	39648	39700	+	NA	NA
582	chrIII	40294	40297	+	NA	NA
583	chrIII	40926	40958	+	YCL048W-A	NA
584	chrIII	41065	41102	+	YCL048W-A	NA
585	chrIII	41424	41435	+	YCL048W-A	NA
586	chrIII	43112	43140	+	NA	YCL027W
587	chrIII	43292	43331	+	NA	YCL027W
588	chrIII	44162	44205	+	NA	NA
589	chrIII	47147	47157	+	NA	NA
590	chrIII	47465	47478	+	NA	NA
591	chrIII	47549	47555	+	NA	NA
592	chrIII	48263	48323	+	NA	NA
593	chrIII	50400	50434	+	YCL042W	NA
594	chrIII	50787	50812	+	YCL040W	YCL032W
595	chrIII	50876	50929	+	NA	YCL032W
596	chrIII	51316	51495	+	NA	YCL034W
597	chrIII	51615	51675	+	NA	YCL034W
598	chrIII	52611	52650	+	YCL039W	NA
599	chrIII	53720	53746	+	NA	YCL036W
600	chrIII	54183	54252	+	NA	YCL036W
601	chrIII	56923	56947	+	NA	NA
602	chrIII	58971	59046	+	YCL036W	YCL039W
603	chrIII	61334	61361	+	YCL034W	NA
604	chrIII	61437	61475	+	YCL034W	NA
605	chrIII	61608	61637	+	YCL034W	NA
606	chrIII	63388	63439	+	YCL032W	NA
607	chrIII	65330	65356	+	NA	NA
608	chrIII	68004	68069	+	NA	NA
609	chrIII	68420	68429	+	NA	NA
610	chrIII	70086	70123	+	YCL028W	NA
611	chrIII	70944	70945	+	NA	YCL046W
612	chrIII	71685	71785	+	YCL027W	NA
613	chrIII	74629	74648	+	NA	NA
614	chrIII	77665	77723	+	NA	NA
